direction,threshold,precision,recall,f1,accuracy,fpr
lower_is_attack,0.06452060608565807,0.725609756097561,0.2603125,0.3831646734130635,0.3295,0.39375
lower_is_attack,0.06458167194575072,0.7205882352941176,0.2603125,0.3824609733700643,0.3275,0.40375
lower_is_attack,0.0646240260899067,0.7173539518900344,0.2609375,0.38267644362969755,0.3265,0.41125
lower_is_attack,0.06468729940801858,0.7150170648464164,0.261875,0.38334858188472093,0.326,0.4175
lower_is_attack,0.06474816597998143,0.7101694915254237,0.261875,0.382648401826484,0.324,0.4275
lower_is_attack,0.06484720872342586,0.7070707070707071,0.2625,0.3828623518687329,0.323,0.435
lower_is_attack,0.06490127354860306,0.7040133779264214,0.263125,0.3830755232029117,0.322,0.4425
lower_is_attack,0.06495853302627802,0.7018272425249169,0.2640625,0.3837420526793824,0.3215,0.44875
lower_is_attack,0.06501072440296411,0.698019801980198,0.264375,0.38349954669084313,0.32,0.4575
lower_is_attack,0.06505489204078913,0.6950819672131148,0.265,0.38371040723981903,0.319,0.465
lower_is_attack,0.0651264436841011,0.6921824104234527,0.265625,0.3839205058717254,0.318,0.4725
lower_is_attack,0.06518725719302892,0.6893203883495146,0.26625,0.3841298467087466,0.317,0.48
lower_is_attack,0.06524386596679688,0.6864951768488746,0.266875,0.38433843384338434,0.316,0.4875
lower_is_attack,0.06527555294334889,0.6845047923322684,0.2678125,0.38499550763701706,0.3155,0.49375
lower_is_attack,0.06532825458794832,0.6825396825396826,0.26875,0.38565022421524664,0.315,0.5
lower_is_attack,0.0653615208119154,0.6790220820189274,0.2690625,0.38540734109221125,0.3135,0.50875
lower_is_attack,0.06540300661325454,0.6763322884012539,0.2696875,0.38561215370866847,0.3125,0.51625
lower_is_attack,0.06543898808211088,0.6752336448598131,0.2709375,0.38670829616413915,0.3125,0.52125
lower_is_attack,0.06547825790941715,0.6710526315789473,0.2709375,0.38601959038290296,0.3105,0.53125
lower_is_attack,0.06554823126643897,0.6684615384615384,0.2715625,0.38622222222222224,0.3095,0.53875
lower_is_attack,0.06561347153037786,0.6651376146788991,0.271875,0.385980479148181,0.308,0.5475
